X,pop,equar,first_date,equar_date,lambdaValues,tau,beta,c,c1,c2,omega,thetaA,thetaS,r,deltaA,deltaA1,deltaA2,epsT,epsI,epsIH,E1,E2,E3,E4,E5,k1,k2,mu,deltaS,tv1,tv2,J,S0,E0,IA0,IS0,V10,Ev10,IAv10,ISv10,V20,Ev20,IAv20,ISv20,Q0,C0,R0,startProjection_date,FittedTo,Convergence,fitness,distance,Geographical.Level,Geographical.Place,popMultiplier,area
1,1054700,31;62;92;123,2021-07-01,2021-07-31;2021-08-31;2021-09-30;2021-10-31,0.500410423249261;0;0;0.400584716746435,5,0.325757451,0.18,0.2407489,0.4254255,0.33,0.071428571,0.071428571,0.09101277,0.035,0.014,0.014,0.001888834,0.001888834,0.001474097,1,1,1,1,1,0.842870125,0.4207799,4.05E-05,0.14;0.14;0.2;0.16,1119;3588;1239;2509,1124;1865;2247;2509,0;0;1532,1316476,302,11,103,54582,12,1,17,23841,3,1,4,1025,1023,9498,2021-10-01,Active,52,0.94077264,135.4868615,province,Negros oriental,0.75,74600000
1,1054700,31;62;92;123,2021-07-01,2021-07-31;2021-08-31;2021-09-30;2021-10-31,0.593561729005781;0;0;0.385326618884125,5,0.325757451,0.18,0.2407489,0.4254255,0.33,0.071428571,0.071428571,0.09101277,0.0425,0.017,0.017,0.001888834,0.001888834,0.001474097,1,1,1,1,1,0.842870125,0.4207799,4.05E-05,0.17;0.16;0.16;0.15,1119;3588;1239;2509,1124;1865;2247;2509,0;0;1532,1317238,532,36,753,54582,22,2,26,23841,6,1,5,1025,9521,8197,2021-10-01,Cumulative,52,0.998450751,117.8086128,province,Negros oriental,0.75,74600000
1,75342,31;62;92;123,2021-07-01,2021-07-31;2021-08-31;2021-09-30;2021-10-31,0.508224752339363;0;0;0.95,5,0.434343268,0.18,0.2407489,0.4254255,0.33,0.071428571,0.071428571,0.09101277,0.0375,0.015,0.015,0.001888834,0.001888834,0.001474097,1,1,1,1,1,0.842870125,0.4207799,4.05E-05,0.15;0.15;0.22;0.16,80;256;89;179,80;133;160;179,0;0;109,94505,6,0,7,3899,0,0,0,1703,0,0,0,12,12,322,2021-10-01,Active,0,0.880834373,76.72061454,province,Siquijor,0.75,76100000
1,75342,31;62;92;123,2021-07-01,2021-07-31;2021-08-31;2021-09-30;2021-10-31,0.660532225184846;0;0;0.715736797501905,5,0.434343268,0.18,0.2407489,0.4254255,0.33,0.071428571,0.071428571,0.09101277,0.035,0.014,0.014,0.001888834,0.001888834,0.001474097,1,1,1,1,1,0.842870125,0.4207799,4.05E-05,0.14;0.14;0.175;0.175,80;256;89;179,80;133;160;179,0;0;109,94593,13,1,14,3899,1,0,0,1703,0,0,0,12,235,219,2021-10-01,Cumulative,52,0.996233418,57.12649239,province,Siquijor,0.75,76100000
1,10353498,31;62;92;123,2021-07-01,2021-07-31;2021-08-31;2021-09-30;2021-10-31,0.0451863221470329;0.0402311137996136;0.30080793830136;0.6050549548144,5,0.434343268,0.18,0.254164737,0.423513454,0.33,0.071428571,0.071428571,0.09101277,0.04,0.016,0.016,0.001888834,0.001888834,0.001361879,1,1,1,1,1,0.792712436,0.399484607,4.05E-05,0.16;0.19;0.24;0.18,38903;101427;20443;40570,70645;30199;86059;39861,5715;3229;86;253,9670126,2042,99,2493,2369751,629,44,693,1122322,174,21,144,7255,7263,790428,2021-10-01,Active,0,0.986477999,2507.947177,region,NCR-National capital region,0.75,130000000
1,10353498,31;62;92;123,2021-07-01,2021-07-31;2021-08-31;2021-09-30;2021-10-31,0.27526588086583;0;0.195883424092471;0.547380957743756,5,0.434343268,0.18,0.254164737,0.423513454,0.33,0.071428571,0.071428571,0.09101277,0.0325,0.013,0.013,0.001888834,0.001888834,0.001361879,1,1,1,1,1,0.792712436,0.399484607,4.05E-05,0.13;0.19;0.24;0.18,38903;101427;20443;40570,70645;30199;86059;39861,5715;3229;86;253,9936951,2847,166,3620,2369751,839,71,963,1122322,233,34,200,7255,527815,520973,2021-10-01,Cumulative,0,0.999871748,1828.788038,region,NCR-National capital region,0.75,130000000
