"","pop","equar","first_date","equar_date","lambdaValues","tau","beta","c","c1","c2","omega","thetaA","thetaS","r","deltaA","deltaA1","deltaA2","epsT","epsI","epsIH","E1","E2","E3","E4","E5","k1","k2","mu","deltaS","tv1","tv2","J","S0","E0","IA0","IS0","V10","Ev10","IAv10","ISv10","V20","Ev20","IAv20","ISv20","Q0","C0","R0","startProjection_date","FittedTo","Convergence","fitness","distance","Geographical.Level","Geographical.Place","popMultiplier","area"
"1",10353498,"31;62;92","2021-07-01","2021-07-31;2021-08-31;2021-09-30","0.268924965257664;0;0.0745815221397655",5,0.434343268,0.18,0.250857513,0.426055955,0.33,0.071428571,0.071428571,0.09101277,0.0325,0.013,0.013,0.001888834,0.001888834,0.00138323397101341,1,1,1,1,1,0.801588132,0.410840369,0.0000405479,"0.13;0.2;0.2","38903;101427;30390","70645;30199;117968","5715;3229;209",9775392,2847,166,3620,2369751,839,71,963,1122322,233,34,200,7255,527997,520973,"2021-08-01","Cumulative",52,0.999743182353957,1814.98851675366,"region","NCR-National capital region",0.75,130000000
"1",10353498,"31;62;92","2021-07-01","2021-07-31;2021-08-31;2021-09-30","0.129762838526172;0;0",5,0.434343268,0.18,0.250857513,0.426055955,0.33,0.071428571,0.071428571,0.09101277,0.0325,0.013,0.013,0.001888834,0.001888834,0.00138323397101341,1,1,1,1,1,0.801588132,0.410840369,0.0000405479,"0.13;0.22;0.22","38903;101427;30390","70645;30199;117968","5715;3229;209",9508567,2042,99,2493,2369751,629,44,693,1122322,174,21,144,7255,7265,790428,"2021-08-01","Active",0,0.946484837243272,5420.89538353815,"region","NCR-National capital region",0.75,130000000
