scenariotitle,hsc,starthsc,projstart,projend,psgcInput,fitTo,scalelevel,dateadj,lambdaValues,lambdaDates,lambda,kappa,compliance,allcompartments,vax1,vax2,jvax
6-Western Visayas,,9/1/21,7/1/21,10/1/21,60000000,Active,0,FALSE,0.3835424492;0.2659560826;0.26310;0.26165;0.26092;0.26055;0.26037;0.26027;0.26023;0.26021;0.26019;0.26019,2021-07-31;2021-09-06;2021-09-12;2021-09-19;2021-09-26;2021-10-03;2021-10-10;2021-10-17;2021-10-24;2021-10-31;2021-11-07;2021-11-14,0,0,0,1,5842;12504;12504;12504,5895;6098;9725;9725,6649;3628;0;0
7-Central visayas,,9/1/21,7/1/21,10/1/21,70000000,Active,0,FALSE,0.3607884235;0.5001015806;0.49912;0.49862;0.49837;0.49825;0.49819;0.49815;0.49814;0.49813;0.49813;0.49813,2021-07-31;2021-09-06;2021-09-12;2021-09-19;2021-09-26;2021-10-03;2021-10-10;2021-10-17;2021-10-24;2021-10-31;2021-11-07;2021-11-14,0,0,0,1,6330;20302;20302;20302,6359;10551;17759;17759,1652;7207;0;0
8-Eastern Visayas,,9/1/21,7/1/21,10/1/21,80000000,Active,0,FALSE,0.6208789802;0;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000,2021-07-31;2021-09-06;2021-09-12;2021-09-19;2021-09-26;2021-10-03;2021-10-10;2021-10-17;2021-10-24;2021-10-31;2021-11-07;2021-11-14,0,0,0,1,2431;4099;4099;4099,3025;2610;4099;4099,1286;3531;0;0
9-Zamboanga peninsula,,9/1/21,7/1/21,10/1/21,90000000,Active,0,FALSE,0.4691923413;0.1053847319;0.10362;0.10274;0.10229;0.10207;0.10196;0.10190;0.10187;0.10186;0.10185;0.10185,2021-07-31;2021-09-06;2021-09-12;2021-09-19;2021-09-26;2021-10-03;2021-10-10;2021-10-17;2021-10-24;2021-10-31;2021-11-07;2021-11-14,0,0,0,1,2503;5101;5101;5101,1714;2894;5101;5101,2073;5566;0;0
6-Western Visayas,,9/1/21,7/1/21,10/1/21,60000000,Cumulative,0,FALSE,0.1991011046;0.1971537953;0.19403;0.19244;0.19164;0.19124;0.19104;0.19094;0.19089;0.19086;0.19085;0.19084,2021-07-31;2021-09-06;2021-09-12;2021-09-19;2021-09-26;2021-10-03;2021-10-10;2021-10-17;2021-10-24;2021-10-31;2021-11-07;2021-11-14,0,0,0,1,5842;12504;12504;12504,5895;6098;9725;9725,6649;3628;0;0
7-Central visayas,,9/1/21,7/1/21,10/1/21,70000000,Cumulative,0,FALSE,0.2656055501;0;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000,2021-07-31;2021-09-06;2021-09-12;2021-09-19;2021-09-26;2021-10-03;2021-10-10;2021-10-17;2021-10-24;2021-10-31;2021-11-07;2021-11-14,0,0,0,1,6330;20302;20302;20302,6359;10551;17759;17759,1652;7207;0;0
8-Eastern Visayas,,9/1/21,7/1/21,10/1/21,80000000,Cumulative,0,FALSE,0.4259237333;0.3656621082;0.36441;0.36378;0.36347;0.36331;0.36323;0.36319;0.36317;0.36316;0.36316;0.36315,2021-07-31;2021-09-06;2021-09-12;2021-09-19;2021-09-26;2021-10-03;2021-10-10;2021-10-17;2021-10-24;2021-10-31;2021-11-07;2021-11-14,0,0,0,1,2431;4099;4099;4099,3025;2610;4099;4099,1286;3531;0;0
9-Zamboanga peninsula,,9/1/21,7/1/21,10/1/21,90000000,Cumulative,0,FALSE,0.4310868008;0.1214778944;0.11975;0.11888;0.11844;0.11822;0.11811;0.11806;0.11803;0.11802;0.11801;0.11801,2021-07-31;2021-09-06;2021-09-12;2021-09-19;2021-09-26;2021-10-03;2021-10-10;2021-10-17;2021-10-24;2021-10-31;2021-11-07;2021-11-14,0,0,0,1,2503;5101;5101;5101,1714;2894;5101;5101,2073;5566;0;0
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
