,Date,CumulativeSumAdmitted,SC1-6M-VS2 HSC 9.0%,S-SC1-6M-VS2 HSC 9.0%,E-SC1-6M-VS2 HSC 9.0%,IS-SC1-6M-VS2 HSC 9.0%,IA-SC1-6M-VS2 HSC 9.0%,R-SC1-6M-VS2 HSC 9.0%,V1-SC1-6M-VS2 HSC 9.0%,Ev1-SC1-6M-VS2 HSC 9.0%,ISv1-SC1-6M-VS2 HSC 9.0%,IAv1-SC1-6M-VS2 HSC 9.0%,V2-SC1-6M-VS2 HSC 9.0%,Ev2-SC1-6M-VS2 HSC 9.0%,ISv2-SC1-6M-VS2 HSC 9.0%,IAv2-SC1-6M-VS2 HSC 9.0%
0,2021-07-01,40602.0,40582.0,1640388.0,531.0,800.0,50.0,39805.0,99440.0,29.0,1.0,3.0,37556.0,7.0,5.0,1.0
1,2021-07-02,40751.0,40670.5788,1638378.3703,673.1936,771.9795,50.4186,39935.2978,99416.5679,35.8824,6.3057,3.2876,39314.7763,8.1473,5.3017,1.193
2,2021-07-03,40855.0,40758.1922,1636371.1529,787.6271,768.3782,54.3837,40066.4223,99393.2422,41.4281,11.6867,3.7202,41073.3804,9.1794,5.7269,1.3957
3,2021-07-04,40968.0,40847.2269,1634358.998,885.9539,782.6588,60.0405,40199.9768,99369.6483,46.2171,17.0178,4.209,42831.7326,10.189,6.2499,1.6005
4,2021-07-05,41125.0,40939.4232,1632336.7367,975.7535,810.3855,66.4541,40337.2531,99345.5215,50.6249,22.2409,4.7134,44589.7685,11.2387,6.8561,1.8075
5,2021-07-06,41252.0,41036.0957,1630300.5776,1061.9924,848.5894,73.1938,40479.3524,99320.6672,54.8965,27.342,5.2186,46347.4321,12.3716,7.5396,2.0206
6,2021-07-07,41345.0,41138.2839,1628247.5838,1147.9686,895.321,80.0964,40627.2636,99294.9335,59.1936,32.3345,5.7226,48104.673,13.6183,8.3006,2.2446
7,2021-07-08,41453.0,41246.8545,1626175.3339,1235.919,949.3379,87.1346,40781.9143,99268.1946,63.6254,37.2485,6.2292,49861.4431,15.0019,9.1438,2.4846
8,2021-07-09,41558.0,41362.5713,1624081.7016,1327.4105,1009.8885,94.3447,40944.2054,99240.3396,68.2679,42.1234,6.7446,51617.6947,16.5408,10.0764,2.7455
9,2021-07-10,41710.0,41486.142,1621964.7112,1423.5911,1076.5627,101.7891,41115.033,99211.2645,73.177,47.0025,7.2754,53373.3788,18.2511,11.1078,3.0317
10,2021-07-11,41918.0,41618.2514,1619822.4427,1525.3513,1149.1899,109.5379,41295.3054,99180.8685,78.396,51.9311,7.8279,55128.4446,20.1481,12.2488,3.347
11,2021-07-12,42089.0,41759.5834,1617652.9689,1633.4277,1227.7697,117.6601,41485.9545,99149.0495,83.9611,56.9539,8.4079,56882.8379,22.247,13.5111,3.6953
12,2021-07-13,42334.0,41910.8375,1615454.3122,1748.4696,1312.4249,126.2206,41687.9449,99115.7028,89.9046,62.1145,9.0204,58636.5012,24.5635,14.907,4.0799
13,2021-07-14,42400.0,42072.7394,1613224.4144,1871.0819,1403.3705,135.28,41902.2809,99080.7192,96.2571,67.4551,9.6702,60389.3722,27.1146,16.4497,4.5045
14,2021-07-15,42548.0,42246.0507,1610961.1146,2001.8536,1500.8916,144.8951,42130.0139,99043.9837,103.0488,73.0162,10.3615,62141.384,29.9184,18.1531,4.9724
15,2021-07-16,42762.0,42431.575,1608662.1322,2141.3755,1605.331,155.1202,42372.247,99005.3748,110.3102,78.8372,11.0984,63892.4644,32.9949,20.0318,5.4874
16,2021-07-17,42904.0,42630.1636,1606325.053,2290.2527,1717.0794,166.0081,42630.1418,98964.7638,118.0733,84.9564,11.8847,65642.5352,36.3656,22.1014,6.0534
17,2021-07-18,43052.0,42842.721,1603947.3171,2449.1128,1836.5701,177.6112,42904.9228,98922.0139,126.3711,91.4112,12.7243,67391.5117,40.054,24.3784,6.6744
18,2021-07-19,43374.0,43070.2087,1601526.2078,2618.6122,1964.2763,189.9826,43197.8837,98876.9796,135.2387,98.2388,13.6211,69139.3024,44.0855,26.8804,7.3548
19,2021-07-20,43561.0,43313.6503,1599058.8413,2799.44,2100.7086,203.1763,43510.3925,98829.5066,144.713,105.4762,14.5793,70885.8084,48.4879,29.6265,8.0996
20,2021-07-21,43976.0,43574.1354,1596542.1553,2992.3221,2246.4146,217.2485,43843.8977,98779.4303,154.8333,113.161,15.6028,72630.9225,53.2911,32.6368,8.9139
21,2021-07-22,44234.0,43852.824,1593972.9004,3198.023,2401.9794,232.2575,44199.9336,98726.5763,165.6411,121.3312,16.6962,74374.5291,58.5275,35.9334,9.8032
22,2021-07-23,44564.0,44150.9509,1591347.628,3417.349,2568.026,248.2644,44580.1267,98670.7587,177.18,130.0258,17.864,76116.5032,64.232,39.5397,10.7737
23,2021-07-24,44895.0,44469.8305,1588662.6808,3651.1503,2745.2155,265.333,44986.2023,98611.7806,189.4967,139.2848,19.111,77856.7097,70.4425,43.4811,11.8319
24,2021-07-25,45224.0,44810.8616,1585914.1807,3900.3226,2934.2494,283.5308,45419.9909,98549.4324,202.6402,149.1498,20.4424,79595.003,77.1993,47.7849,12.9849
25,2021-07-26,45534.0,45175.5321,1583098.0189,4165.8092,3135.8702,302.9285,45883.4348,98483.4919,216.6624,159.6639,21.8634,81331.2258,84.5462,52.4806,14.2403
26,2021-07-27,45919.0,45565.4241,1580209.8438,4448.6024,3350.8632,323.6006,46378.5958,98413.7234,231.618,170.8723,23.3798,83065.2087,92.5301,57.5999,15.6062
27,2021-07-28,46089.0,45982.2196,1577245.05,4749.7455,3580.0574,345.6254,46907.6623,98339.8768,247.5646,182.8218,24.9976,84796.7692,101.2012,63.1769,17.0916
28,2021-07-29,46424.0,46427.7059,1574198.7659,5070.3335,3824.3279,369.0852,47472.9569,98261.6873,264.5631,195.5618,26.7231,86525.7106,110.6135,69.2484,18.7058
29,2021-07-30,46859.0,46903.7812,1571065.8428,5411.5151,4084.5966,394.0666,48076.9449,98178.8744,282.6773,209.1439,28.5629,88251.8212,120.8247,75.8538,20.4591
30,2021-07-31,47342.0,47412.4617,1567840.8416,5774.4923,4361.8345,420.6605,48722.2431,98091.1412,301.9744,223.6221,30.5241,89974.8736,131.8965,83.0355,22.3623
31,2021-08-01,47792.0,47953.321,1565355.4793,5400.4553,4595.95,436.8308,49409.6423,98042.2207,282.5832,236.0552,31.7528,91715.6605,124.8438,89.7125,23.7084
32,2021-08-02,48166.0,48418.8145,1558570.7753,5125.5435,4831.6725,439.8097,50131.8765,99704.9529,268.7836,248.7643,31.9696,96005.699,120.5049,96.6618,24.2488
33,2021-08-03,48705.0,48903.6576,1551759.9021,4924.2587,4995.8572,434.9144,50881.6532,101365.3071,259.5712,257.953,31.6678,100293.8312,118.5192,102.3428,24.3966
34,2021-08-04,49108.0,49401.7841,1544933.1109,4774.0161,5106.9448,426.6517,51654.141,103023.7836,253.6635,264.5937,31.1755,104580.2711,118.267,107.0863,24.4239
35,2021-08-05,49563.0,49908.7552,1538097.6176,4659.06,5178.7551,417.422,52445.5299,104680.7451,250.1344,269.4341,30.6675,108865.1821,119.2864,111.1779,24.4741
36,2021-08-06,50063.0,50421.3319,1531258.5017,4568.4166,5221.5578,408.4124,53252.7547,106336.4561,248.3143,273.0371,30.2286,113148.6893,121.2343,114.8494,24.6147
37,2021-08-07,50584.0,50937.1546,1524419.3421,4494.453,5242.9344,400.1338,54073.3002,107991.1099,247.719,275.8185,29.8924,117430.889,123.8553,118.2796,24.87
38,2021-08-08,51263.0,51454.5038,1517582.664,4431.8697,5248.454,392.7351,54905.0637,109644.8491,247.9979,278.0795,29.6654,121711.8565,126.9597,121.6006,25.2409
39,2021-08-09,51708.0,51972.1252,1510750.2536,4376.9936,5242.1918,386.1851,55746.2561,111297.78,248.8967,280.0335,29.5396,125991.6508,130.4064,124.9058,25.7167
40,2021-08-10,52037.0,52489.0998,1503923.3796,4327.2838,5227.123,380.3746,56595.3317,112949.9829,250.2305,281.8285,29.5017,130270.3197,134.0902,128.2574,26.2818
41,2021-08-11,52571.0,53004.751,1497102.9475,4280.9872,5205.4165,375.1704,57450.9367,114601.5198,251.8646,283.5632,29.5362,134547.9023,137.9329,131.6939,26.9197
42,2021-08-12,53186.0,53518.5758,1490289.6088,4236.8974,5178.6542,370.4433,58311.8725,116252.4395,253.7006,285.3011,29.6285,138824.4318,141.8758,135.2358,27.6146
43,2021-08-13,53770.0,54030.1963,1483483.836,4194.1883,5147.9904,366.0792,59177.0674,117902.7812,255.6662,287.08,29.7655,143099.9369,145.8747,138.8907,28.3526
44,2021-08-14,54313.0,54539.3242,1476685.9759,4152.2964,5114.2705,361.984,60045.556,119552.5781,257.7082,288.9197,29.9362,147374.443,149.8966,142.657,29.1218
45,2021-08-15,54847.0,55045.7349,1469896.2874,4110.8398,5078.117,358.0823,60916.463,121201.8582,259.7873,290.8275,30.1314,151647.9734,153.9161,146.527,29.9124
46,2021-08-16,55418.0,55549.2503,1463114.9661,4069.5628,5039.9907,354.3158,61788.9911,122850.6467,261.8742,292.8025,30.3437,155920.55,157.9141,150.4892,30.7162
47,2021-08-17,55866.0,56049.7251,1456342.1629,4028.2963,5000.2361,350.6402,62662.4109,124498.9661,263.9469,294.8381,30.5671,160192.1935,161.8756,154.5295,31.5267
48,2021-08-18,56304.0,56547.0382,1449577.9964,3986.9308,4959.1135,347.0225,63536.0529,126146.8376,265.9888,296.9248,30.7969,164462.9239,165.7892,158.633,32.3386
49,2021-08-19,56757.0,57041.0861,1442822.5611,3945.3989,4916.8217,343.4387,64409.3011,127794.2811,267.9876,299.051,31.0296,168732.7607,169.6458,162.7845,33.1478
