scenariotitle,hsc,starthsc,projstart,projend,psgcInput,fitTo,scalelevel,dateadj,lambdaValues,lambdaDates,lambda,kappa,compliance,allcompartments,vax1,vax2,jvax,filterPSGCs
SC1-6M-VS1,,8/1/21,7/1/21,9/1/21,130000000,Cumulative,0,FALSE,0.2509622201;0;0.00000;0.00000;0.00000;0.00000;0.00000,2021-07-31;2021-08-28;2021-09-04;2021-09-11;2021-09-18;2021-09-25;2021-10-02,0,0,0,1,36537;117181;100000,67602;32962;50000,5905;4275;0,;
SC1-6M-VS1,,8/1/21,7/1/21,9/1/21,130000000,Active,0,FALSE,0.11232945;0.04935323976;0.04748;0.04654;0.04607;0.04583;0.04571,2021-07-31;2021-08-28;2021-09-04;2021-09-11;2021-09-18;2021-09-25;2021-10-02,0,0,0,1,36537;117181;100000,67602;32962;50000,5905;4275;0,;
