Unnamed: 0,regionpsgc,provincepsgc,municipalitycitypsgc,linelist_date,active_cases
119,010000000,013300000,013309000,2020-04-24,3
120,010000000,013300000,013311000,2020-04-05,1
121,010000000,013300000,013311000,2020-04-06,1
122,010000000,013300000,013311000,2020-04-07,1
123,010000000,013300000,013311000,2020-04-08,1
124,010000000,013300000,013311000,2020-04-09,1
125,010000000,013300000,013311000,2020-04-10,1
126,010000000,013300000,013311000,2020-04-11,1
127,010000000,013300000,013311000,2020-04-12,1
128,010000000,013300000,013311000,2020-04-13,1
129,010000000,013300000,013311000,2020-04-14,1
130,010000000,013300000,013311000,2020-04-15,1
131,010000000,013300000,013311000,2020-04-16,1
132,010000000,013300000,013311000,2020-04-17,1
133,010000000,013300000,013311000,2020-04-18,1
134,010000000,013300000,013311000,2020-04-19,1
135,010000000,013300000,013311000,2020-04-20,1
136,010000000,013300000,013311000,2020-04-21,1
137,010000000,013300000,013311000,2020-04-22,1
138,010000000,013300000,013311000,2020-04-23,1
139,010000000,013300000,013311000,2020-04-24,1
140,010000000,013300000,013314000,2020-04-11,2
141,010000000,013300000,013314000,2020-04-12,2
142,010000000,013300000,013314000,2020-04-13,2
143,010000000,013300000,013314000,2020-04-14,2
144,010000000,013300000,013314000,2020-04-15,2
145,010000000,013300000,013314000,2020-04-16,3
146,010000000,013300000,013314000,2020-04-17,3
147,010000000,013300000,013314000,2020-04-18,3
148,010000000,013300000,013314000,2020-04-19,3
149,010000000,013300000,013314000,2020-04-20,3
150,010000000,013300000,013314000,2020-04-21,3
151,010000000,013300000,013314000,2020-04-22,3
152,010000000,013300000,013314000,2020-04-23,3
153,010000000,013300000,013314000,2020-04-24,1
154,010000000,013300000,013315000,2020-04-15,1
155,010000000,013300000,013315000,2020-04-16,1
156,010000000,013300000,013315000,2020-04-17,1
157,010000000,013300000,013315000,2020-04-18,1
158,010000000,013300000,013315000,2020-04-19,1
159,010000000,013300000,013315000,2020-04-20,1
160,010000000,013300000,013315000,2020-04-21,1
161,010000000,013300000,013315000,2020-04-22,1
162,010000000,013300000,013315000,2020-04-23,1
163,010000000,013300000,013315000,2020-04-24,1
164,010000000,013300000,013316000,2020-04-09,1
165,010000000,013300000,013316000,2020-04-10,1
166,010000000,013300000,013317000,2020-04-11,1
167,010000000,013300000,013317000,2020-04-12,1
168,010000000,013300000,013317000,2020-04-13,1
169,010000000,013300000,013317000,2020-04-14,1
170,010000000,013300000,013317000,2020-04-15,1
171,010000000,013300000,013317000,2020-04-16,1
172,010000000,013300000,013317000,2020-04-17,1
173,010000000,013300000,013317000,2020-04-18,1
174,010000000,013300000,013317000,2020-04-19,1
175,010000000,013300000,013317000,2020-04-20,1
176,010000000,013300000,013317000,2020-04-21,1
177,010000000,013300000,013317000,2020-04-22,1
178,010000000,013300000,013317000,2020-04-23,1
179,010000000,013300000,013317000,2020-04-24,1
180,010000000,013300000,NDA,2020-04-08,1
181,010000000,013300000,NDA,2020-04-09,1
182,010000000,013300000,NDA,2020-04-10,1
183,010000000,015500000,015503000,2020-04-06,1
184,010000000,015500000,015503000,2020-04-07,1
185,010000000,015500000,015503000,2020-04-08,1
186,010000000,015500000,015503000,2020-04-09,1
187,010000000,015500000,015503000,2020-04-10,1
188,010000000,015500000,015503000,2020-04-11,2
189,010000000,015500000,015503000,2020-04-12,2
190,010000000,015500000,015503000,2020-04-13,2
191,010000000,015500000,015503000,2020-04-14,2
192,010000000,015500000,015503000,2020-04-15,2
193,010000000,015500000,015503000,2020-04-16,2
194,010000000,015500000,015503000,2020-04-17,2
195,010000000,015500000,015503000,2020-04-18,2
196,010000000,015500000,015503000,2020-04-19,2
197,010000000,015500000,015503000,2020-04-20,2
198,010000000,015500000,015503000,2020-04-21,2
199,010000000,015500000,015503000,2020-04-22,2
200,010000000,015500000,015503000,2020-04-23,1
201,010000000,015500000,015503000,2020-04-24,1
202,010000000,015500000,015506000,2020-04-11,1
203,010000000,015500000,015506000,2020-04-12,1
204,010000000,015500000,015506000,2020-04-13,1
205,010000000,015500000,015506000,2020-04-14,1
206,010000000,015500000,015506000,2020-04-15,1
207,010000000,015500000,015506000,2020-04-16,1
208,010000000,015500000,015506000,2020-04-17,1
209,010000000,015500000,015506000,2020-04-18,1
210,010000000,015500000,015506000,2020-04-19,1
211,010000000,015500000,015506000,2020-04-20,1
212,010000000,015500000,015506000,2020-04-21,1
213,010000000,015500000,015506000,2020-04-22,1
214,010000000,015500000,015506000,2020-04-23,1
215,010000000,015500000,015506000,2020-04-24,1
216,010000000,015500000,015510000,2020-04-09,1
217,010000000,015500000,015510000,2020-04-10,1
218,010000000,015500000,015511000,2020-04-01,2
219,010000000,015500000,015511000,2020-04-02,2
220,010000000,015500000,015511000,2020-04-03,2
221,010000000,015500000,015511000,2020-04-04,2
222,010000000,015500000,015511000,2020-04-05,2
223,010000000,015500000,015511000,2020-04-06,2
224,010000000,015500000,015511000,2020-04-07,2
225,010000000,015500000,015511000,2020-04-08,2
226,010000000,015500000,015511000,2020-04-09,2
227,010000000,015500000,015511000,2020-04-10,2
228,010000000,015500000,015511000,2020-04-11,4
229,010000000,015500000,015511000,2020-04-12,4
