Unnamed: 0,regionpsgc,provincepsgc,municipalitycitypsgc,linelist_date,active_cases
117,070000000,072200000,072226000,2020-05-20,39
118,070000000,072200000,072226000,2020-05-21,40
119,070000000,072200000,072226000,2020-05-22,40
120,070000000,072200000,072226000,2020-05-23,40
121,070000000,072200000,072226000,2020-05-24,40
122,070000000,072200000,072226000,2020-05-25,51
123,070000000,072200000,072226000,2020-05-26,51
124,070000000,072200000,072226000,2020-05-27,51
125,070000000,072200000,072226000,2020-05-29,53
126,070000000,072200000,072226000,2020-05-30,53
127,070000000,072200000,072226000,2020-05-31,57
128,130000000,137500000,137503000,2020-05-14,43
129,130000000,137500000,137503000,2020-05-16,44
130,130000000,137500000,137503000,2020-05-17,43
131,130000000,137500000,137503000,2020-05-18,52
132,130000000,137500000,137503000,2020-05-19,51
133,130000000,137500000,137503000,2020-05-20,57
134,130000000,137500000,137503000,2020-05-21,55
135,130000000,137500000,137503000,2020-05-22,55
136,130000000,137500000,137503000,2020-05-23,55
137,130000000,137500000,137503000,2020-05-24,57
138,130000000,137500000,137503000,2020-05-25,59
139,130000000,137500000,137503000,2020-05-26,60
140,130000000,137500000,137503000,2020-05-27,84
141,130000000,137500000,137503000,2020-05-29,101
142,130000000,137500000,137503000,2020-05-30,107
143,130000000,137600000,137602000,2020-05-14,329
144,130000000,137600000,137602000,2020-05-16,333
145,130000000,137600000,137602000,2020-05-17,328
146,130000000,137600000,137602000,2020-05-18,320
147,130000000,137600000,137602000,2020-05-19,325
148,130000000,137600000,137602000,2020-05-20,319
149,130000000,137600000,137602000,2020-05-21,321
150,130000000,137600000,137602000,2020-05-22,323
151,130000000,137600000,137602000,2020-05-23,337
152,130000000,137500000,137501000,2020-05-14,209
153,130000000,137500000,137501000,2020-05-16,212
154,130000000,137500000,137501000,2020-05-17,213
155,130000000,137500000,137501000,2020-05-18,209
156,130000000,137500000,137501000,2020-05-19,217
157,130000000,137500000,137501000,2020-05-20,219
158,130000000,137500000,137501000,2020-05-21,216
159,130000000,137500000,137501000,2020-05-22,217
160,130000000,137500000,137501000,2020-05-23,232
161,130000000,137500000,137501000,2020-05-24,238
162,130000000,137500000,137501000,2020-05-25,237
163,130000000,137500000,137501000,2020-05-26,243
164,130000000,137500000,137501000,2020-05-27,298
165,130000000,137500000,137501000,2020-05-29,352
166,130000000,137500000,137501000,2020-05-30,364
167,130000000,137500000,137501000,2020-05-31,350
168,050000000,050500000,050506000,2020-05-14,18
169,050000000,050500000,050506000,2020-05-16,18
170,050000000,050500000,050506000,2020-05-17,18
171,050000000,050500000,050506000,2020-05-18,18
172,050000000,050500000,050506000,2020-05-19,18
173,050000000,050500000,050506000,2020-05-20,18
174,050000000,050500000,050506000,2020-05-21,19
175,050000000,050500000,050506000,2020-05-22,19
176,050000000,050500000,050506000,2020-05-23,19
177,050000000,050500000,050506000,2020-05-24,19
178,050000000,050500000,050506000,2020-05-25,19
179,050000000,050500000,050506000,2020-05-26,19
180,050000000,050500000,050506000,2020-05-27,19
181,050000000,050500000,050506000,2020-05-29,20
182,050000000,050500000,050506000,2020-05-30,21
183,050000000,050500000,050506000,2020-05-31,23
184,060000000,063000000,063022000,2020-05-14,19
185,060000000,063000000,063022000,2020-05-16,18
186,110000000,112400000,112402000,2020-05-14,56
187,110000000,112400000,112402000,2020-05-16,73
188,110000000,112400000,112402000,2020-05-17,72
189,110000000,112400000,112402000,2020-05-18,72
190,110000000,112400000,112402000,2020-05-19,72
191,110000000,112400000,112402000,2020-05-20,72
192,110000000,112400000,112402000,2020-05-21,72
193,110000000,112400000,112402000,2020-05-22,72
194,110000000,112400000,112402000,2020-05-23,110
195,110000000,112400000,112402000,2020-05-24,115
196,110000000,112400000,112402000,2020-05-25,115
197,130000000,137400000,137402000,2020-05-14,84
198,130000000,137400000,137402000,2020-05-16,87
199,130000000,137400000,137402000,2020-05-17,87
200,130000000,137400000,137402000,2020-05-18,87
201,130000000,137400000,137402000,2020-05-19,86
202,130000000,137400000,137402000,2020-05-20,85
203,130000000,137400000,137402000,2020-05-21,84
204,130000000,137400000,137402000,2020-05-22,84
205,130000000,137400000,137402000,2020-05-23,89
206,130000000,137400000,137402000,2020-05-24,88
207,130000000,137400000,137402000,2020-05-25,86
208,130000000,137400000,137402000,2020-05-26,85
209,130000000,137400000,137402000,2020-05-27,93
210,130000000,137400000,137402000,2020-05-29,98
211,130000000,137400000,137402000,2020-05-30,113
212,130000000,137400000,137402000,2020-05-31,114
213,130000000,137600000,137604000,2020-05-14,386
214,130000000,137600000,137604000,2020-05-16,374
215,130000000,137600000,137604000,2020-05-17,370
216,130000000,137600000,137604000,2020-05-18,369
217,130000000,137600000,137604000,2020-05-19,366
218,070000000,072200000,072230000,2020-05-14,95
219,070000000,072200000,072230000,2020-05-16,95
220,070000000,072200000,072230000,2020-05-17,95
221,070000000,072200000,072230000,2020-05-18,95
222,070000000,072200000,072230000,2020-05-19,96
223,070000000,072200000,072230000,2020-05-20,96
224,070000000,072200000,072230000,2020-05-21,105
225,070000000,072200000,072230000,2020-05-22,105
226,070000000,072200000,072230000,2020-05-23,105
227,070000000,072200000,072230000,2020-05-24,105
228,070000000,072200000,072230000,2020-05-25,108
229,070000000,072200000,072230000,2020-05-26,108
230,070000000,072200000,072230000,2020-05-27,108
231,070000000,072200000,072230000,2020-05-29,114
232,070000000,072200000,072230000,2020-05-30,121
233,070000000,072200000,072230000,2020-05-31,136
234,130000000,133900000,133912000,2020-05-14,27
235,130000000,133900000,133912000,2020-05-16,22
236,130000000,133900000,133912000,2020-05-17,22
237,130000000,133900000,133912000,2020-05-18,22
238,130000000,133900000,133912000,2020-05-19,22
239,130000000,133900000,133912000,2020-05-20,22
240,130000000,133900000,133912000,2020-05-21,22
241,130000000,133900000,133912000,2020-05-22,22
242,130000000,133900000,133912000,2020-05-23,22
243,130000000,133900000,133912000,2020-05-24,23
244,130000000,133900000,133912000,2020-05-25,23
245,130000000,133900000,133912000,2020-05-26,23
246,130000000,133900000,133912000,2020-05-27,24
247,130000000,133900000,133912000,2020-05-29,27
248,130000000,133900000,133912000,2020-05-30,26
249,130000000,133900000,133912000,2020-05-31,27
250,130000000,137400000,137405000,2020-05-14,137
251,130000000,137400000,137405000,2020-05-16,134
252,130000000,137400000,137405000,2020-05-17,133
253,130000000,137400000,137405000,2020-05-18,131
254,130000000,137400000,137405000,2020-05-19,126
255,130000000,137400000,137405000,2020-05-20,122
256,130000000,137400000,137405000,2020-05-21,121
257,130000000,137400000,137405000,2020-05-22,121
258,130000000,137400000,137405000,2020-05-23,123
259,130000000,137400000,137405000,2020-05-24,121
260,130000000,137400000,137405000,2020-05-25,120
261,130000000,137400000,137405000,2020-05-26,120
262,130000000,137400000,137405000,2020-05-27,131
263,130000000,137400000,137405000,2020-05-29,131
264,130000000,137400000,137405000,2020-05-30,136
265,130000000,137400000,137405000,2020-05-31,118
266,040000000,042100000,042117000,2020-05-14,2
267,130000000,NDA,NDA,2020-05-14,357
268,130000000,NDA,NDA,2020-05-16,336
269,130000000,NDA,NDA,2020-05-17,339
270,130000000,NDA,NDA,2020-05-18,339
271,130000000,NDA,NDA,2020-05-19,338
272,130000000,NDA,NDA,2020-05-20,337
273,130000000,NDA,NDA,2020-05-21,335
274,130000000,NDA,NDA,2020-05-22,376
275,130000000,NDA,NDA,2020-05-23,375
276,130000000,NDA,NDA,2020-05-24,376
277,130000000,NDA,NDA,2020-05-25,376
278,130000000,NDA,NDA,2020-05-26,373
279,130000000,NDA,NDA,2020-05-27,152
280,130000000,NDA,NDA,2020-05-29,154
281,130000000,NDA,NDA,2020-05-30,148
282,040000000,043400000,043403000,2020-05-27,29
283,040000000,043400000,043403000,2020-05-29,29
284,040000000,043400000,043403000,2020-05-30,29
285,130000000,137600000,137605000,2020-05-14,231
286,130000000,137600000,137605000,2020-05-16,229
287,130000000,137600000,137605000,2020-05-17,230
288,130000000,137600000,137605000,2020-05-18,228
289,130000000,137600000,137605000,2020-05-19,231
290,130000000,137600000,137605000,2020-05-20,229
291,130000000,137600000,137605000,2020-05-21,232
292,130000000,137600000,137605000,2020-05-22,247
293,130000000,137600000,137605000,2020-05-23,247
294,130000000,137600000,137605000,2020-05-24,250
295,130000000,137600000,137605000,2020-05-25,270
296,130000000,137600000,137605000,2020-05-26,268
297,130000000,137600000,137605000,2020-05-27,288
298,130000000,137600000,137605000,2020-05-29,300
299,130000000,137600000,137605000,2020-05-30,300
300,130000000,137600000,137605000,2020-05-31,281
301,110000000,112400000,112402000,2020-05-26,100
302,110000000,112400000,112402000,2020-05-27,104
303,110000000,112400000,112402000,2020-05-29,112
304,110000000,112400000,112402000,2020-05-30,112
305,110000000,112400000,112402000,2020-05-31,143
306,130000000,133900000,133910000,2020-05-14,35
307,130000000,133900000,133910000,2020-05-16,33
308,130000000,133900000,133910000,2020-05-17,31
309,130000000,133900000,133910000,2020-05-18,30
310,130000000,133900000,133910000,2020-05-19,29
311,130000000,133900000,133910000,2020-05-20,29
312,130000000,133900000,133910000,2020-05-21,29
313,130000000,133900000,133910000,2020-05-22,29
314,130000000,133900000,133910000,2020-05-23,31
315,130000000,133900000,133910000,2020-05-24,28
316,130000000,133900000,133914000,2020-05-29,55
317,130000000,133900000,133914000,2020-05-30,54
318,130000000,133900000,021523000,2020-05-31,63
319,040000000,042100000,042109000,2020-05-14,34
320,040000000,042100000,042109000,2020-05-16,33
321,040000000,042100000,042109000,2020-05-17,34
322,040000000,042100000,042109000,2020-05-18,32
323,040000000,042100000,042109000,2020-05-19,31
324,040000000,042100000,042109000,2020-05-20,31
325,040000000,042100000,042109000,2020-05-21,31
326,040000000,042100000,042109000,2020-05-22,31
327,040000000,042100000,042109000,2020-05-23,31
328,040000000,042100000,042109000,2020-05-24,31
