,pop,equar,first_date,equar_date,lambdaValues,tau,beta,c,c1,c2,omega,thetaA,thetaS,r,deltaA,deltaA1,deltaA2,epsT,epsI,epsIH,E1,E2,E3,E4,E5,v1,v2,k1,k2,mu,deltaS,S0,E0,IA0,IS0,V10,Ev10,IAv10,ISv10,V20,Ev20,IAv20,ISv20,Q0,C0,R0,startProjection_date,FittedTo,Convergence,fitness,distance,Geographical.Level,Geographical.Place,popMultiplier,area
1,1386266,31;62,2021-07-01,2021-07-31;2021-08-31,0.95;0.95,5,0.434343268,0.18,0.24888,0.39974,0.33,0.071428571,0.071428571,0.09101277,0.03125,0.0125,0.0125,0.001888834,0.001888834,0.001444391,1,1,1,1,1,0.0038,0.029,0.8333,0.4019,4.05E-05,0.125;0.125,6340996,2826,164,3598,2338009,847,72,971,1192967,245,35,214,7255,93895,520973,2021-08-01,Cumulative,0,0.778880385,436457.7279,region,NCR-National capital region,0.75,130000000
2,7941224,31;62,2021-07-01,2021-07-31;2021-08-31,0.95;0.95,5,0.434343268,0.18,0.25076,0.38594,0.33,0.071428571,0.071428571,0.09101277,0.03125,0.0125,0.0125,0.001888834,0.001888834,0.001403404,1,1,1,1,1,0.001533,0.02658,0.8117,0.3683,4.05E-05,0.125;0.125,10906047,3497,220,4264,672922,175,16,190,288515,43,7,36,6863,168287,236301,2021-08-01,Cumulative,0,0.826624435,70875.36871,region,4A-Calabarzon,0.75,40000000
