,Date,ActiveCases,SC1-6M-VS1 HSC 12.0%,S-SC1-6M-VS1 HSC 12.0%,E-SC1-6M-VS1 HSC 12.0%,IS-SC1-6M-VS1 HSC 12.0%,IA-SC1-6M-VS1 HSC 12.0%,R-SC1-6M-VS1 HSC 12.0%,V1-SC1-6M-VS1 HSC 12.0%,Ev1-SC1-6M-VS1 HSC 12.0%,ISv1-SC1-6M-VS1 HSC 12.0%,IAv1-SC1-6M-VS1 HSC 12.0%,V2-SC1-6M-VS1 HSC 12.0%,Ev2-SC1-6M-VS1 HSC 12.0%,ISv2-SC1-6M-VS1 HSC 12.0%,IAv2-SC1-6M-VS1 HSC 12.0%
0,2021-07-01,771.0,777.0,1642570.0,762.0,800.0,80.0,77082.0,99440.0,44.0,1.0,4.0,37556.0,10.0,6.0,1.0
1,2021-07-02,880.0,803.341,1640567.3184,856.0704,803.6441,75.7595,77214.6937,99416.9434,47.8293,8.4449,4.4728,39314.8507,10.5373,6.3917,1.377
2,2021-07-03,878.0,829.2867,1638560.4448,937.0232,818.9841,75.5333,77350.8953,99393.6574,51.1765,15.2128,4.926,41073.4628,11.1295,6.8724,1.6655
3,2021-07-04,915.0,856.0722,1636545.7555,1010.5022,843.3901,77.6257,77491.5377,99369.9569,54.2957,21.3681,5.3529,42831.7919,11.8068,7.4135,1.9005
4,2021-07-05,970.0,884.5376,1634520.6243,1080.2315,874.9911,81.0671,77637.4006,99345.7072,57.3498,26.9917,5.7571,44589.7999,12.5883,8.0023,2.1069
5,2021-07-06,998.0,915.2565,1632483.0655,1148.6831,912.4785,85.3164,77789.1696,99320.8057,60.4431,32.1703,6.146,46347.4525,13.4861,8.6364,2.302
6,2021-07-07,970.0,948.6255,1630431.4965,1217.5191,954.9552,90.0809,77947.4744,99295.1703,63.6429,36.9891,6.5279,48104.7176,14.5081,9.3191,2.4981
7,2021-07-08,998.0,984.9258,1628364.5823,1287.8771,1001.8228,95.2099,78112.915,99268.7313,66.9928,41.5283,6.9104,49861.564,15.6603,10.0571,2.7038
8,2021-07-09,1050.0,1024.3647,1626281.134,1360.5579,1052.6983,100.6335,78286.0778,99241.426,70.5224,45.8612,7.2998,51617.9604,16.9474,10.8584,2.9249
9,2021-07-10,1071.0,1067.105,1624180.0414,1436.1464,1107.3541,106.326,78467.5475,99213.1959,74.2521,50.0531,7.7015,53373.8749,18.3739,11.7317,3.1659
10,2021-07-11,1152.0,1113.2831,1622060.2283,1515.091,1165.6749,112.2853,78657.9151,99183.9837,78.1976,54.162,8.1195,55129.2742,19.9446,12.6858,3.4299
11,2021-07-12,1192.0,1163.0229,1619920.6237,1597.755,1227.6272,118.522,78857.7834,99153.7326,82.3714,58.2384,8.5572,56884.1236,21.665,13.7293,3.7193
12,2021-07-13,1293.0,1216.4439,1617760.1411,1684.4497,1293.2371,125.0526,79067.7713,99122.3844,86.7848,62.3266,9.0171,58638.3865,23.5411,14.8705,4.0361
13,2021-07-14,1240.0,1273.6667,1615577.6656,1775.4561,1362.5759,131.8964,79288.5173,99089.8796,91.4484,66.4655,9.5014,60392.0241,25.5799,16.1177,4.3822
14,2021-07-15,1288.0,1334.8176,1613372.044,1871.0392,1435.7484,139.0739,79520.6825,99056.1562,96.3731,70.689,10.0121,62144.9954,27.7892,17.4789,4.7593
15,2021-07-16,1420.0,1400.03,1611142.078,1971.4569,1512.8865,146.6061,79764.9527,99021.1499,101.5698,75.0272,10.5508,63897.2566,30.1779,18.9621,5.169
16,2021-07-17,1385.0,1469.4471,1608886.5189,2076.966,1594.1432,154.5139,80022.0406,98984.7936,107.0504,79.507,11.1191,65648.7612,32.7555,20.5753,5.6132
17,2021-07-18,1381.0,1543.2224,1606604.0632,2187.8267,1679.6897,162.8188,80292.6886,98947.017,112.827,84.1526,11.7183,67399.4598,35.5326,22.327,6.0936
18,2021-07-19,1559.0,1621.5204,1604293.3493,2304.3048,1769.7127,171.5421,80577.6698,98907.7467,118.9126,88.9862,12.3501,69149.2999,38.5209,24.2256,6.6124
19,2021-07-20,1594.0,1704.5175,1601952.9542,2426.6734,1864.4125,180.7058,80877.791,98866.9057,125.3211,94.0284,13.016,70898.2256,41.7327,26.2803,7.1717
20,2021-07-21,1553.0,1792.4021,1599581.3906,2555.2147,1964.0026,190.3322,81193.8942,98824.4135,132.067,99.2985,13.7175,72646.1775,45.1815,28.5004,7.7738
21,2021-07-22,1573.0,1885.3752,1597177.104,2690.2208,2068.7083,200.4441,81526.8584,98780.186,139.1655,104.8153,14.4562,74393.0924,48.8817,30.896,8.4212
22,2021-07-23,1519.0,1983.6502,1594738.4701,2831.9938,2178.7667,211.0652,81877.6023,98734.1349,146.6329,110.5965,15.234,76138.9032,52.8485,33.4777,9.1167
23,2021-07-24,1627.0,2087.4535,1592263.7924,2980.8472,2294.4263,222.2197,82247.0859,98686.168,154.4859,116.6598,16.0524,77883.5386,57.0984,36.2566,9.8631
