,Date,ActiveCases,SC1-6M-VS1 HSC 15.0%,S-SC1-6M-VS1 HSC 15.0%,E-SC1-6M-VS1 HSC 15.0%,IS-SC1-6M-VS1 HSC 15.0%,IA-SC1-6M-VS1 HSC 15.0%,R-SC1-6M-VS1 HSC 15.0%,V1-SC1-6M-VS1 HSC 15.0%,Ev1-SC1-6M-VS1 HSC 15.0%,ISv1-SC1-6M-VS1 HSC 15.0%,IAv1-SC1-6M-VS1 HSC 15.0%,V2-SC1-6M-VS1 HSC 15.0%,Ev2-SC1-6M-VS1 HSC 15.0%,ISv2-SC1-6M-VS1 HSC 15.0%,IAv2-SC1-6M-VS1 HSC 15.0%
0,2021-07-01,5058.0,5078.0,9936027.0,1871.0,2274.0,108.0,256021.0,405760.0,80.0,3.0,7.0,156182.0,19.0,16.0,3.0
1,2021-07-02,5328.0,4890.098,9915522.1421,2145.8134,2210.8355,129.3197,256634.9935,407504.1143,86.6994,16.2446,7.9496,174257.2997,20.0952,16.2042,3.3554
2,2021-07-03,5280.0,4717.079,9895019.223,2370.024,2201.9453,150.35,257232.575,409248.047,92.2923,28.2744,8.8174,192331.316,21.4925,16.6032,3.6782
3,2021-07-04,5097.0,4562.7302,9874505.8512,2563.9642,2231.6399,170.053,257818.4266,410991.365,97.3699,39.1694,9.6008,210403.9369,23.2388,17.1931,4.0025
4,2021-07-05,5049.0,4429.0136,9853973.4934,2740.8117,2289.2622,188.2285,258396.5271,412733.7622,102.3011,49.063,10.3162,228475.0572,25.3657,17.9833,4.3535
5,2021-07-06,4826.0,4316.7289,9833416.0877,2909.1307,2367.6217,205.0553,258970.362,414475.0147,107.3148,58.1112,10.9862,246544.5771,27.895,18.9907,4.7496
6,2021-07-07,4706.0,4225.9559,9812829.139,3074.5237,2461.9038,220.85,259543.0649,416214.95,112.5515,66.4744,11.6324,264612.3989,30.8422,20.2361,5.2045
7,2021-07-08,4835.0,4156.3469,9792209.1347,3240.6946,2568.9194,235.9506,260117.5122,417953.4279,118.0978,74.306,12.2739,282678.4256,34.2195,21.7414,5.728
8,2021-07-09,5132.0,4107.317,9771553.1665,3410.1327,2686.5896,250.6642,260696.388,419690.3275,124.0068,81.747,12.9257,300742.5588,38.0383,23.5285,6.3275
9,2021-07-10,4950.0,4078.1681,9750858.6847,3584.5536,2813.5931,265.2505,261282.2302,421425.5388,130.3125,88.9236,13.5995,318804.6975,42.3101,25.6186,7.0085
10,2021-07-11,4942.0,4068.1674,9730123.3412,3765.1816,2949.1269,279.9198,261877.4643,423158.9573,137.0377,95.9465,14.304,336864.7367,47.0482,28.032,7.7757
11,2021-07-12,4886.0,4076.5966,9709344.885,3952.9319,3092.742,294.8395,262484.4284,424890.4803,144.1993,102.9121,15.0459,354922.5663,52.2678,30.7882,8.6332
12,2021-07-13,4659.0,4102.7817,9688521.0961,4148.5268,3244.2337,310.1417,263105.3932,426620.0048,151.8119,109.9038,15.8302,372978.0707,57.9868,33.9064,9.5848
13,2021-07-14,4394.0,4146.1099,9667649.7416,4352.5701,3403.566,325.9315,263742.5785,428347.4253,159.8893,116.9932,16.6606,391031.1276,64.2255,37.4053,10.6344
14,2021-07-15,4525.0,4206.0387,9646728.5462,4565.5949,3570.8218,342.2935,264398.1668,430072.6333,168.4457,124.2429,17.5403,409081.6076,71.0073,41.304,11.7861
15,2021-07-16,4913.0,4282.0995,9625755.1726,4788.0939,3746.1684,359.2976,265074.3148,431795.516,177.4965,131.7069,18.4719,427129.3737,78.3581,45.6221,13.0443
16,2021-07-17,4843.0,4373.8981,9604727.208,5020.5394,3929.8354,377.003,265773.1644,433515.9562,187.0588,139.4329,19.4577,445174.2804,86.3067,50.38,14.4139
17,2021-07-18,4836.0,4481.1141,9583642.1526,5263.3975,4122.0963,395.4624,266496.8525,435233.8313,197.1509,147.4634,20.5002,463216.1736,94.8848,55.5993,15.9003
18,2021-07-19,4986.0,4603.4973,9562497.4149,5517.1326,4323.263,414.7232,267247.5193,436949.0134,207.7931,155.8368,21.6016,481254.8898,104.1266,61.303,17.5093
19,2021-07-20,4880.0,4740.8654,9541290.3032,5782.2156,4533.6758,434.8299,268027.3164,438661.3683,219.007,164.5883,22.7641,499290.2556,114.0692,67.5154,19.2473
20,2021-07-21,4530.0,4893.1013,9520018.0208,6059.1283,4753.6981,455.8255,268838.4156,440370.7562,230.8164,173.7507,23.9903,517322.0872,124.7526,74.2629,21.1212
21,2021-07-22,4203.0,5060.1491,9498677.6619,6348.3634,4983.7157,477.7519,269683.0148,442077.0303,243.2462,183.3553,25.2827,535350.1898,136.2191,81.5735,23.1385
22,2021-07-23,4116.0,5242.0112,9477266.2073,6650.4274,5224.1334,500.6513,270563.3462,443780.0374,256.3233,193.4323,26.6441,553374.3569,148.5143,89.4774,25.3072
23,2021-07-24,4011.0,5438.7459,9455780.5198,6965.8425,5475.3742,524.5658,271481.682,445479.6169,270.0759,204.011,28.0774,571394.37,161.6864,98.0068,27.636
24,2021-07-25,3911.0,5650.4643,9434217.3407,7295.1461,5737.8786,549.5385,272440.3414,447175.6009,284.534,215.1207,29.5857,589409.9977,175.7863,107.1962,30.1339
25,2021-07-26,4083.0,5877.3277,9412573.2854,7638.8926,6012.104,575.6133,273441.6966,448867.814,299.7289,226.7908,31.1722,607420.9952,190.8682,117.0825,32.8107
26,2021-07-27,4223.0,6119.5462,9390844.8387,7997.6536,6298.525,602.8352,274488.1794,450556.0726,315.6937,239.0508,32.8403,625427.1035,206.9892,127.7048,35.6769
